Year-Month,Mass shooting,"Articles (""firearm laws and regulations"")","Articles (""unemployment"")","Articles (""shootings"" excluding ""firearm laws and regulations"")","Background checks (48 states, processed)",,,,
1999-01,0,11,13,33,195080.3355,,,,
1999-02,0,11,8,43,206995.3041,,,,
1999-03,0,19,6,27,207117.6026,,,,
1999-04,1,45,10,57,211340.0011,,,,
1999-05,0,91,14,33,217182.5697,,,,
1999-06,0,92,7,26,207640.6682,,,,
1999-07,1,38,11,32,215811.3268,,,,
1999-08,0,31,5,34,189374.2153,,,,
1999-09,1,21,10,22,185781.1839,,,,
1999-10,0,29,6,19,196949.1724,,,,
1999-11,1,17,10,28,189860.3209,,,,
1999-12,1,18,7,28,274617.0795,,,,
2000-01,0,16,6,17,157227.918,,,,
2000-02,0,16,6,18,154108.8866,,,,
2000-03,0,91,4,28,137096.4651,,,,
2000-04,0,28,4,25,131064.0637,,,,
2000-05,0,73,9,30,105864.6322,,,,
2000-06,0,19,7,32,114442.0307,,,,
2000-07,0,12,4,24,103482.0593,,,,
2000-08,0,12,5,27,97848.57782,,,,
2000-09,0,12,3,29,111652.4064,,,,
2000-10,0,10,5,19,78914.17491,,,,
2000-11,0,11,6,21,79760.10345,,,,
2000-12,1,8,6,14,80853.24199,,,,
2001-01,0,10,6,31,97404.02053,,,,
2001-02,1,10,5,50,81343.99907,,,,
2001-03,0,16,7,41,84388.83762,,,,
2001-04,0,8,12,10,68247.59616,,,,
2001-05,0,12,10,17,78036.7247,,,,
2001-06,0,6,10,9,84656.86324,,,,
2001-07,0,15,11,25,64451.70178,,,,
2001-08,0,6,16,19,80035.97033,,,,
2001-09,0,2,20,12,153399.5589,,,,
2001-10,0,8,35,11,156476.9574,,,,
2001-11,0,7,19,25,35879.42595,,,,
2001-12,0,6,28,33,25751.86449,,,,
2002-01,0,5,14,38,-207.5069633,,,,
2002-02,0,6,13,20,-13538.78842,,,,
2002-03,0,5,10,16,-13908.54988,,,,
2002-04,0,8,15,18,-8770.871337,,,,
2002-05,0,19,12,29,-16099.2728,,,,
2002-06,0,9,4,17,-35970.52425,,,,
2002-07,0,8,8,18,-29880.86571,,,,
2002-08,0,4,12,31,-24573.63717,,,,
2002-09,0,6,19,27,-45096.56863,,,,
2002-10,0,38,19,313,-44324.91009,,,,
2002-11,0,5,17,77,-43921.72154,,,,
2002-12,0,5,18,36,-55696.473,,,,
2003-01,0,11,20,32,-57091.04446,,,,
2003-02,0,6,13,18,-51208.80592,,,,
2003-03,0,3,13,24,-49735.81737,,,,
2003-04,0,12,17,46,-66361.72883,,,,
2003-05,0,12,21,43,-53453.73029,,,,
2003-06,0,3,15,20,-69030.74175,,,,
2003-07,1,8,19,43,-78397.34321,,,,
2003-08,0,6,18,43,-66618.06466,,,,
2003-09,0,7,26,34,-74127.27612,,,,
2003-10,0,8,30,32,-72561.30758,,,,
2003-11,0,8,13,56,-85340.35904,,,,
2003-12,0,9,19,47,-78883.5905,,,,
2004-01,0,7,23,40,-62623.85195,,,,
2004-02,0,15,33,36,-74430.17341,,,,
2004-03,0,12,24,30,-84807.19487,,,,
2004-04,0,5,15,23,-78917.66633,,,,
2004-05,0,3,10,34,-91230.74779,,,,
2004-06,0,3,7,29,-84646.18924,,,,
2004-07,0,16,12,37,-70546.5307,,,,
2004-08,0,3,13,21,-93761.18216,,,,
2004-09,0,31,12,28,-90561.46362,,,,
2004-10,0,9,10,27,-75919.39508,,,,
2004-11,0,4,4,44,-89122.16653,,,,
2004-12,1,4,10,27,-89678.53799,,,,
2005-01,0,5,4,24,-110354.4395,,,,
2005-02,0,4,5,23,-95442.36091,,,,
2005-03,2,4,9,51,-99120.71237,,,,
2005-04,0,10,9,27,-83706.76382,,,,
2005-05,0,4,13,40,-101512.8953,,,,
2005-06,0,4,10,45,-99178.76674,,,,
2005-07,0,7,9,49,-95311.6482,,,,
2005-08,0,4,4,36,-100367.0397,,,,
2005-09,0,0,11,32,-82010.80111,,,,
2005-10,0,9,9,29,-89852.85257,,,,
2005-11,0,6,2,38,-82915.70403,,,,
2005-12,0,7,5,45,-67483.87549,,,,
2006-01,1,7,4,32,-67960.68695,,,,
2006-02,0,1,9,42,-77984.4184,,,,
2006-03,1,4,2,30,-79290.05986,,,,
2006-04,0,8,5,28,-97733.92132,,,,
2006-05,0,6,5,61,-103562.0428,,,,
2006-06,0,4,5,30,-100995.7142,,,,
2006-07,0,4,5,41,-112951.6057,,,,
2006-08,0,6,8,40,-103328.2272,,,,
2006-09,0,5,7,47,-87086.64861,,,,
2006-10,1,8,7,36,-108180.9501,,,,
2006-11,0,2,8,43,-100072.7715,,,,
2006-12,0,1,7,33,-100255.163,,,,
2007-01,0,9,2,44,-116062.4644,,,,
2007-02,1,2,5,36,-130967.2859,,,,
2007-03,0,22,7,59,-118223.9874,,,,
2007-04,1,34,2,150,-124861.7488,,,,
2007-05,0,25,4,41,-106635.5403,,,,
2007-06,0,9,2,30,-86082.73173,,,,
2007-07,0,11,2,51,-107973.3232,,,,
2007-08,0,6,0,43,-105150.4146,,,,
2007-09,0,10,5,53,-129281.5461,,,,
2007-10,1,7,6,56,-128638.5676,,,,
2007-11,0,17,4,33,-133802.229,,,,
2007-12,1,11,5,39,-143107.3605,,,,
2008-01,0,23,17,21,-143272.0819,,,,
2008-02,2,12,7,36,-131426.9434,,,,
2008-03,0,26,6,33,-148024.7349,,,,
2008-04,0,7,7,47,-145393.0463,,,,
2008-05,0,7,9,29,-113153.0078,,,,
2008-06,1,44,8,35,-136340.3692,,,,
2008-07,0,34,13,31,-120721.6107,,,,
2008-08,0,8,4,35,-124386.2821,,,,
2008-09,0,31,9,43,-137365.9336,,,,
2008-10,0,13,15,31,-57940.22506,,,,
2008-11,0,7,21,57,182056.4635,,,,
2008-12,0,18,26,39,-29860.46797,,,,
2009-01,0,11,34,38,162.240567,,,,
2009-02,0,25,32,28,-37009.98089,,,,
2009-03,1,34,35,44,-28936.46235,,,,
2009-04,1,33,32,29,-18143.96381,,,,
2009-05,0,16,30,20,-67192.51526,,,,
2009-06,0,26,42,43,-87862.94672,,,,
2009-07,0,20,49,31,-99765.81818,,,,
2009-08,0,17,38,34,-116671.5496,,,,
2009-09,0,9,41,10,-119452.6111,,,,
2009-10,0,16,53,24,-102388.4726,,,,
2009-11,2,6,60,73,-141405.134,,,,
2009-12,0,15,61,29,-154680.7955,,,,
2010-01,0,31,41,24,-154079.7869,,,,
2010-02,0,12,43,22,-149914.7684,,,,
2010-03,0,28,41,29,-148212.5298,,,,
2010-04,0,29,20,38,-149496.1513,,,,
2010-05,0,13,21,24,-141694.8028,,,,
2010-06,0,20,36,38,-136087.3342,,,,
2010-07,0,12,43,15,-118950.4257,,,,
2010-08,1,11,34,36,-129190.3571,,,,
2010-09,0,5,41,28,-118372.4686,,,,
2010-10,0,21,39,31,-117972.1301,,,,
2010-11,0,12,41,22,-114882.7315,,,,
2010-12,0,22,37,23,-123217.553,,,,
2011-01,1,74,30,135,-104852.9244,,,,
2011-02,0,16,27,33,-113759.8259,,,,
2011-03,0,12,29,51,-87002.47734,,,,
2011-04,0,23,24,43,-66611.7788,,,,
2011-05,0,7,30,15,-86332.21026,,,,
2011-06,0,14,54,27,-76664.84171,,,,
2011-07,0,16,36,23,-81214.65317,,,,
2011-08,0,11,43,28,-67144.76463,,,,
2011-09,1,8,46,25,-39709.11609,,,,
2011-10,1,14,41,29,-47422.90755,,,,
2011-11,0,17,34,27,-26052.079,,,,
2011-12,0,8,32,22,15641.81954,,,,
2012-01,0,11,40,23,-563.3719199,,,,
2012-02,1,15,27,23,58833.97662,,,,
2012-03,0,23,47,62,32314.10516,,,,
2012-04,1,23,36,54,3126.603706,,,,
2012-05,1,9,31,27,42956.13225,,,,
2012-06,0,13,38,29,84809.89079,,,,
2012-07,1,49,38,63,97606.52933,,,,
2012-08,1,28,39,70,111496.0679,,,,
2012-09,1,11,45,45,71047.60642,,,,
2012-10,0,30,42,52,81849.24496,,,,
2012-11,0,23,37,36,273866.8835,,,,
2012-12,1,530,78,104,543968.322,,,,
2013-01,0,1175,67,128,897728.7606,,,,
2013-02,0,1134,146,286,326313.2991,,,,
2013-03,1,480,114,85,255850.0377,,,,
2013-04,1,467,53,46,219005.5762,,,,
2013-05,0,199,68,55,155061.6148,,,,
2013-06,1,103,47,61,99503.25329,,,,
2013-07,1,89,56,63,69956.69184,,,,
2013-08,0,58,59,63,69182.73038,,,,
2013-09,1,105,34,132,63430.36892,,,,
2013-10,0,59,48,45,29569.00746,,,,
2013-11,0,39,33,73,36329.146,,,,
2013-12,0,54,35,53,10642.27455,,,,
2014-01,0,70,45,63,-14628.28691,,,,
2014-02,1,66,30,46,-3701.578369,,,,
2014-03,0,43,40,59,14124.00017,,,,
2014-04,1,45,37,119,1079.838715,,,,
2014-05,1,99,49,57,1245.877257,,,,
2014-06,0,56,23,53,-20110.7542,,,,
2014-07,0,84,36,42,-24879.00566,,,,
2014-08,0,85,34,161,-2347.607117,,,,
2014-09,0,55,28,114,8299.831425,,,,
2014-10,1,80,37,109,22997.36997,,,,
2014-11,0,32,24,114,-7307.091491,,,,
2014-12,0,38,14,127,25050.24705,,,,
2015-01,0,48,21,101,5258.785593,,,,
2015-02,0,32,9,80,-805.2758649,,,,
2015-03,0,25,24,97,-19114.23732,,,,
2015-04,0,27,9,88,-31468.89878,,,,
2015-05,1,20,20,83,7731.639761,,,,
2015-06,1,64,13,109,2785.178303,,,,
2015-07,1,40,16,94,58834.01685,,,,
2015-08,0,54,24,126,11447.45539,,,,
2015-09,0,28,22,62,31074.39393,,,,
2015-10,2,198,15,121,10732.43247,,,,
2015-11,1,66,7,77,5993.271013,,,,
2015-12,1,148,12,119,386499.4096,,,,
2016-01,0,140,19,83,265798.3481,,,,
2016-02,2,107,18,80,133331.5866,,,,
2016-03,0,76,16,90,23646.82518,,,,
2016-04,0,60,11,98,36468.16372,,,,
2016-05,0,36,22,59,-24936.09773,,,,
2016-06,1,78,12,51,239247.9408,,,,
2016-07,2,44,12,112,363815.4793,,,,
2016-08,0,20,7,41,191582.1179,,,,
2016-09,1,42,15,79,129879.6564,,,,
2016-10,0,35,8,67,161668.695,,,,
2016-11,0,22,8,37,138937.8335,,,,
2016-12,0,19,7,31,106423.4721,,,,
2017-01,1,31,13,40,-100941.7894,,,,
2017-02,0,38,8,28,-56611.35086,,,,
2017-03,0,27,14,39,10028.98769,,,,
2017-04,1,36,11,28,-7278.473772,,,,
2017-05,1,18,14,50,-300.2352301,,,,
2017-06,3,51,16,61,18868.60331,,,,
2017-07,0,26,11,74,-31599.15815,,,,
2017-08,0,24,19,35,-41196.9196,,,,
2017-09,0,23,14,35,-44742.68106,,,,
2017-10,2,114,18,57,-76161.44252,,,,
2017-11,3,77,19,55,-59795.80398,,,,
2017-12,0,45,17,35,-78082.46544,,,,